,start,stop,middle,duration,key,total,bandwidth,compressed,requestor,fulfiller,transfer_type,t_event
16,2024-04-18 11:56:18.244376,2024-04-18 11:56:18.284181,2024-04-18 11:56:18.264278,0.0398049354553222,finalize-22e6d185-92df-4edc-9d7a-28dbf6754c3a,28,703.4303580627,,tcp://10.201.0.229:44955,tcp://10.201.0.212:45449,TransferTypeEnum.INCOMING,2024-04-18 11:56:18.135050
17,2024-04-18 11:56:18.311999,2024-04-18 11:56:18.419344,2024-04-18 11:56:18.143890,0.1073448657989502,finalize-22e6d185-92df-4edc-9d7a-28dbf6754c3a,28,260.84153901167605,332.0,tcp://10.201.0.212:45449,tcp://10.201.0.229:44955,TransferTypeEnum.OUTGOING,2024-04-18 11:56:18.202710
18,2024-04-18 11:56:18.311999,2024-04-18 11:56:18.419344,2024-04-18 11:56:18.143890,0.1073448657989502,finalize-22e6d185-92df-4edc-9d7a-28dbf6754c3a,28,260.84153901167605,332.0,tcp://10.201.0.212:45449,tcp://10.201.0.229:44955,TransferTypeEnum.OUTGOING,2024-04-18 11:56:18.665835
19,2024-04-18 11:56:18.244148,2024-04-18 11:56:18.246973,2024-04-18 11:56:18.245561,0.0028247833251953,finalize-d907de1b-e8d4-48d3-a39c-013e49bda9ad,0,0.0,,tcp://10.201.0.229:37485,tcp://10.201.0.212:45449,TransferTypeEnum.INCOMING,2024-04-18 11:56:18.094614
20,2024-04-18 11:56:18.244148,2024-04-18 11:56:18.246973,2024-04-18 11:56:18.245561,0.0028247833251953,finalize-d907de1b-e8d4-48d3-a39c-013e49bda9ad,0,0.0,,tcp://10.201.0.229:37485,tcp://10.201.0.212:45449,TransferTypeEnum.INCOMING,2024-04-18 11:56:18.135047
21,2024-04-18 11:56:18.309530,2024-04-18 11:56:18.311982,2024-04-18 11:56:18.091237,0.0024514198303222,finalize-d907de1b-e8d4-48d3-a39c-013e49bda9ad,0,0.0,345.0,tcp://10.201.0.212:45449,tcp://10.201.0.229:37485,TransferTypeEnum.OUTGOING,2024-04-18 11:56:18.322880
22,2024-04-18 11:56:08.482493,2024-04-18 11:56:08.494892,2024-04-18 11:56:08.488692,0.0123987197875976,finalize-4d0e0858-59e6-44f5-b42b-f735d891d481,56,4516.595338820091,,tcp://10.201.0.212:45449,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:08.228082
23,2024-04-18 11:56:08.481644,2024-04-18 11:56:08.493480,2024-04-18 11:56:08.220149,0.011836290359497,finalize-4d0e0858-59e6-44f5-b42b-f735d891d481,56,4731.212085809246,1839.0,tcp://10.201.0.229:37485,tcp://10.201.0.212:45449,TransferTypeEnum.OUTGOING,2024-04-18 11:56:08.743951
24,2024-04-18 11:56:08.482493,2024-04-18 11:56:08.494892,2024-04-18 11:56:08.488692,0.0123987197875976,finalize-6f59da55-8f1b-467e-8832-ab81a4c9fd6b,56,4516.595338820091,,tcp://10.201.0.212:45449,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:08.228082
25,2024-04-18 11:56:08.481644,2024-04-18 11:56:08.493480,2024-04-18 11:56:08.220149,0.011836290359497,finalize-6f59da55-8f1b-467e-8832-ab81a4c9fd6b,56,4731.212085809246,1839.0,tcp://10.201.0.229:37485,tcp://10.201.0.212:45449,TransferTypeEnum.OUTGOING,2024-04-18 11:56:08.743951
