,key,thread,worker,prefix,group,start,finish,stimulus_id,called_from,begins,ends,duration,size,time
25,"('array-8838909ee9756e34565341881e2e6f0c', 124)",,,array,array-8838909ee9756e34565341881e2e6f0c,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.4797664
26,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 124, 0, 0, 0)",,,map_read_frame,_map_read_frame-c50155175b03e4c1ec9664317841e345,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.4805214
27,"('chunk_min-5a09aab47a69898004101a2c5b6e1b96', 124, 0, 0, 0)",,,chunk_min,chunk_min-5a09aab47a69898004101a2c5b6e1b96,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.4812748
28,"('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 62, 0, 0, 0)",,,chunk_min-partial,chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.4820368
29,"('chunk_min-partial-8dd005561753a0069a30a564b3da22ea', 31, 0, 0, 0)",,,chunk_min-partial,chunk_min-partial-8dd005561753a0069a30a564b3da22ea,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.482789
30,"('chunk_max-f51ddbdd2414581636b6798cd76ef954', 125, 0, 0, 0)",,,chunk_max,chunk_max-f51ddbdd2414581636b6798cd76ef954,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.483553
31,"('chunk_max-f51ddbdd2414581636b6798cd76ef954', 124, 0, 0, 0)",,,chunk_max,chunk_max-f51ddbdd2414581636b6798cd76ef954,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.4843082
32,"('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 62, 0, 0, 0)",,,chunk_max-partial,chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.4850354
33,"('chunk_max-partial-8c47771865924cf589c1b50dcf089083', 31, 0, 0, 0)",,,chunk_max-partial,chunk_max-partial-8c47771865924cf589c1b50dcf089083,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.485799
34,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 123, 0, 0, 0)",,,block-info,block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.486551
35,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 123, 0, 0, 0)",,,block-info,block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.4873536
36,"('array-8838909ee9756e34565341881e2e6f0c', 123)",,,array,array-8838909ee9756e34565341881e2e6f0c,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.4880576
37,"('array-8838909ee9756e34565341881e2e6f0c', 123)",,,array,array-8838909ee9756e34565341881e2e6f0c,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.489027
